id;ligne;terminus;nom;latitude;longitude
285;3;0;Père_Lachaise;48.861393;2.393029
286;3;0;Péreire;48.883523;2.294827
287;6;0;Quai_de_la_Gare;48.83496;2.375248
288;5;0;Quai_de_la_Rapée;48.84716;2.37339
289;3;0;Quatre_Septembre;48.868536;2.332811
290;11;0;Rambuteau;48.863138;2.350712
291;9;0;Ranelagh;48.85803;2.26742
292;4;0;Raspail;48.841847;2.327108
293;6;0;Raspail;48.841847;2.327108
294;12;0;Rennes;48.848418;2.328077
295;1;0;Reuilly_Diderot;48.845615;2.389165
296;8;0;Reuilly_Diderot;48.845615;2.389165
297;5;0;Richard_Lenoir;48.857803;2.371219
298;8;0;Richelieu_Drouot;48.87231;2.34009
299;9;0;Richelieu_Drouot;48.87231;2.34009
300;7;0;Riquet;48.885093;2.371098
301;9;0;Robespierre;48.854789;2.427721
302;2;0;Rome;48.882122;2.319358
303;8;0;Rue_Montmartre,_Grands_Boulevards;48.870077;2.341125
304;9;0;Rue_Montmartre,_Grands_Boulevards;48.870077;2.341125
305;3;0;Rue_Saint-Maur;48.864992;2.382839
306;9;0;Rue_de_la_Pompe;48.857723;2.276911
307;9;0;Rue_des_Boulets;48.851869;2.39176
308;12;0;Rue_du_Bac;48.853666;2.326065
309;3;0;Réaumur_Sébastopol;48.866699;2.351039
310;4;0;Réaumur_Sébastopol;48.866699;2.351039
311;11;0;République;48.8675;2.363
312;3;0;République;48.8675;2.363
313;5;0;République;48.8675;2.363
314;8;0;République;48.8675;2.363
315;9;0;République;48.8675;2.363
316;9;0;Saint-Ambroise;48.862234;2.37611
317;9;0;Saint-Augustin;48.87533;2.32262
318;13;0;Saint-Denis-Porte_de_Paris;48.951754;2.358472
319;13;1;Saint-Denis-Université;48.944603;2.362012
320;3b;0;Saint-Fargeau;48.871142;2.405198
321;13;0;Saint-Francois_Xavier;48.850109;2.313503
322;12;0;Saint-Georges;48.878525;2.337235
323;4;0;Saint-Germain-des-Prés;48.853287;2.333299
324;6;0;Saint-Jacques;48.84445;2.34216
325;12;0;Saint-Lazare;48.87519;2.32433
326;13;0;Saint-Lazare;48.87519;2.32433
327;3;0;Saint-Lazare;48.87519;2.32433
328;1;0;Saint-Mandé,_Tourelle;48.847719;2.408057
329;5;0;Saint-Marcel;48.838337;2.356288
330;4;0;Saint-Michel;48.853886;2.343285
